Latitude,Longitude,City,Active,Confirm,Death
33.2296111,-79.2042149,Railway Quarantine,23,23,0
18.7713537,98.9716458,Airport Quarantine,84,86,0
60.5991365,-134.8802513,Other State,0,1,1
11.0760359,79.1174554,Ariyalur,9,357,0
12.7665742,79.9993191,Chengalpattu,588,853,7
13.0801721,80.2838331,Chennai,6055,11641,94
11.0018115,76.9628425,Coimbatore,0,145,1
11.7426938,79.7503064,Cuddalore,20,435,1
12.0968048,78.193043,Dharmapuri,3,8,0
10.3303299,78.0673979,Dindigul,21,134,1
11.3692044,77.6766269,Erode,1,71,1
11.7946847,79.0388211,Kallakurichi,61,154,0
12.8796051,79.7042762,Kancheepuram,128,312,1
8.079252,77.5499338,Kanyakumari,30,58,1
10.9301522,78.0848545,Karur,13,80,0
12.5188835,78.2206536,Krishnagiri,6,25,0
9.9080669,78.1082197,Madurai,110,234,2
10.8056276,79.8246598,Nagapattinam,0,51,0
11.2842248,78.1661528,Namakkal,0,77,0
11.4,76.7,Nilgiris,1,14,0
11.2287716,78.8182555,Perambalur,4,139,0
10.5,78.833333,Pudukkottai,14,21,0
9.3895523,78.8590707,Ramanathapuram,33,64,1
12.9272641,79.3330076,Ranipet,21,97,0
44.9391565,-123.033121,Salem,33,68,0
9.851231,78.5304715,Sivaganga,2,28,0
9.0940754,77.4758369,Tenkasi,32,85,0
10.7860267,79.1381497,Thanjavur,17,84,0
9.9696643,77.4742005,Theni,43,108,2
13.1301476,79.9243539,Thiruvallur,318,793,8
10.7361861,79.6331866,Thiruvarur,6,38,0
8.7567452,78.0797527,Thoothukkudi,127,186,2
10.804973,78.6870296,Tiruchirappalli,9,76,0
8.8082342,77.8114843,Tirunelveli,176,298,1
12.4533064,78.5529086,Tirupathur,5,31,0
10.7832271,77.5260478,Tiruppur,0,114,0
12.227213,79.0701555,Tiruvannamalai,151,242,1
12.7948109,79.0006411,Vellore,10,42,1
11.9137874,79.507893,Viluppuram,22,327,2
